,Date,Country,City,Killed,Injured,Total,Description
66,22/2/2002,Pakistan,Karachi,1,0,1,"Jewish journalist Daniel Pearl is kidnapped, held for several weeks, then killed by five Islamics. Videotape shows throat being cut."
67,22/2/2002,India,Aragam,2,2,4,"The Mujahideen attack four civilians, killing two of them."
68,23/2/2002,India,Wagbal,1,1,2,"A man is murdered by the Mujahideen, who also seriously injure his sister."
69,24/2/2002,Nigeria,Gombi,1,0,1,"A young Christian woman is kidnapped by four Muslim men, who slit her throat and leave her to die."
70,24/2/2002,Morocco,Casablanca,1,0,1,An 'impious' Muslim is stoned to death.
71,25/2/2002,Israel,Neve Ya'akov,1,2,3,One killed and two injured by a Palestinian terrorist while waiting for a bus.
72,25/2/2002,Israel,Tekoa,2,1,3,An Islamic terrorist kills two Jews and injures one other in a shooting attack.
73,26/2/2002,India,Gujarat,59,38,97,"In a horrific and senseless attack, a group of militant Muslims set fire to a train carrying Hindu pilgrims. Fifty-nine innocents are burned to death, including fifteen children."
74,26/2/2002,India,Kashmir,2,1,3,"Two civilians are killed in separate attacks by the Mujahideen (Moila, Newatta)."
75,26/2/2002,Pakistan,Rawalpindi,10,21,31,"Ten Shias are slaughtered, as Sunnis open up with automatic weapons at point-blank range at a mosque.  At least twenty others are injured."
76,27/2/2002,Nigeria,Ilorin,3,0,3,Eid-el-Kabir celebrants kill three Christians.
77,27/2/2002,India,Tangwari,1,1,2,The Mujahideen pull a man from a passenger bus and execute him by the roadside.
78,28/2/2002,Israel,Atarot,1,0,1,Jewish employer killed by a Muslim employee. Fatah takes credit for this attack.
79,28/2/2002,Pakistan,Karachi,2,11,13,"Islamists ambush a prisoner transport, killing a guard and a prisoner."
80,28/2/2002,India,Udhampur,2,0,2,Separate attacks by the Mujahideen leave a police officer and a civilian dead.
81,2/3/2002,India,Roshli,2,0,2,A man and wife are abducted from their home and killed by Muslim terrorists.
82,2/3/2002,Israel,Jerusalem,10,52,62,"Ten people, mostly women and small children were killed by a suicide bomber. Most were waiting with baby carriages for their husbands to return from the synagogue."
83,2/3/2002,Israel,Mar Saba,1,0,1,Jerusalem police detective assassinated by Tanzim while on holiday in the desert.
84,3/3/2002,Israel,Kissufim,1,4,5,Soldier killed at a roadblock by Palestinian gunman. Four others injured.
85,3/3/2002,Israel,Ofra,10,6,16,Hamas terrorist kills ten and wounds six by opening fire at a roadblock.
86,3/3/2002,India,Kashmir,2,0,2,"Two civilians are killed in separate terror attacks (Handwara, Yaripora)."
87,4/3/2002,India,Morha Pathana,4,0,4,The Mujahideen abduct and massacre four civilians in a brutal attack.
88,4/3/2002,Pakistan,Khyaban-e-Hafiz,1,0,1,A doctor is killed by two gunmen in a sectarian attack.
89,5/3/2002,Israel,Afula,1,17,18,85-year-old man is killed in a Fedayeen suicide bombing at a bus station.
90,5/3/2002,Israel,Bethlehem,1,1,2,A female motorist gunned down by a Palestinian sniper. Her husband is badly injured.
91,5/3/2002,Israel,Tel Aviv,3,30,33,Three Israelis are killed and more than thirty injured when two Muslim gunmen open fire at adjacent restaurants.
92,6/3/2002,Israel,Khan Yunis,2,0,2,Two Israeli soldiers are killed in a Palestinian ambush.
93,7/3/2002,Nigeria,Enugu,12,0,12,"Muslim gunmen storm a Christian prayer meeting attempting to kill the leader. Twelve are killed, an unknown number injured."
94,7/3/2002,Pakistan,Lyari,1,0,1,Another physician is killed in a sectarian attack on his car.
95,7/3/2002,India,Kashmir,3,0,3,"In separate attacks (Watnar, Mendhar, Androon) three civilians are killed after being taken captive."
96,7/3/2002,Israel,Gush Katif,5,23,28,Five Israeli teen-agers are killed and twenty-three are injured by a Palestinian sniper in a heinous shooting.
97,8/3/2002,Algeria,al-Bleida,6,0,6,"Islamic attackers open fire on a civilian vehicle then set the car on fire, killing a half-dozen people."
98,8/3/2002,Israel,Tulkarm,1,0,1,An Israelis soldier is killed by a Palestinian sniper.
