,Date,Country,City,Killed,Injured,Total,Description
244,8/6/2002,India,Sultan Pathri,3,0,3,Three security forces are killed in a Mujahideen ambush.
245,8/6/2002,India,Mahore,4,0,4,Four village guards are captured and killed by Muslim terrorists posing as policemen.
246,9/6/2002,Indonesia,Kayamanya,1,0,1,An older Christian man is beheaded by a Muslim.
247,9/6/2002,India,Berneli,4,0,4,"In a brutal slaying, Islamic terrorists abduct four brothers from a wedding party, then execute them."
248,9/6/2002,India,Poonch,1,0,1,Jihadis kill a woman and set fire to three homes.
249,9/6/2002,Pakistan,Mashkey,2,0,2,A BNP party leader is assassinated along with an associate.
250,10/6/2002,Afghanistan,Kabul,1,0,1,A government official is stabbed to death by a crowd of Muslims.
251,10/6/2002,India,Gambhir Mugalan,1,0,1,"Militant Muslims abduct a girl on the day of her wedding, then cut off her head."
252,10/6/2002,India,Kashmir,3,0,3,"The Mujahideen kill three civilians in separate attacks, including a school teacher."
253,11/6/2002,Pakistan,Lahore,1,0,1,A man is murdered in prison by a member of the Anjaman-e-Sipahe Sahaba extremist group after being sentenced for blasphemy.
254,11/6/2002,India,Surankote,2,0,2,"Two civilians are abducted, tortured and killed by militant Muslims."
255,11/6/2002,Algeria,al-Medya,12,9,21,Armed Islamists open fire on a train.  One dozen passengers are murdered and several more are injured.
256,13/6/2002,India,Dharam Chowki,2,0,2,Muslim terrorists force entry into two houses and behead two civilians.
257,14/6/2002,Pakistan,Karachi,10,51,61,"Ten persons, including five women, killed and fifty-one others injured in a car-bomb blast outside the US Consulate."
258,15/6/2002,Pakistan,Faisalabad,0,1,1,A 16-year-old Christian girl is doused with acid for refusing to convert to Islam.
259,15/6/2002,India,Bindra,3,1,4,"Lashkar-e-Toiba terrorists lob a grenade at a group of Hindus returning from a pilgrimage, killing three children and injuring an adult."
260,16/6/2002,India,Balmakote,5,3,8,Five villagers are killed by Jihadis in an overnight attack.
261,17/6/2002,Pakistan,Multan,3,0,3,Radical Sunnis open fire on Shia worshippers as they are leaving a mosque.  Three people are killed.
262,18/6/2002,Israel,Jerusalem,19,50,69,"Several children on their way to school are among the nineteen dead and fifty injured by Fedayeen (""holy warrior"") suicide attack on a bus."
263,18/6/2002,India,Branwar,2,0,2,"The Mujahideen barge into the home of a civilian and kill him, along with his wife."
264,19/6/2002,India,Khanyar,1,0,1,A political activist is killed by al Umar Mujahideen.
265,19/6/2002,Israel,Jerusalem,7,35,42,"One day after killing nineteen Jews, a second Muslim blows up a bus-stop killing seven more. Thirty-five are injured."
266,20/6/2002,Israel,Itamar,4,4,8,Mother and three young sons killed in their home by Muslim invader.
267,21/6/2002,India,Kashmir,2,0,2,Two civilians are abducted and murdered by the Mujahideen (Zallah Charote & Bandipora).
268,26/6/2002,India,Chak Rishipora,2,0,2,A man and his wife are shot to death in their home by Muslim terrorists.
269,27/6/2002,Pakistan,Multan,1,0,1,A Shia activist is shot to death in a sectarian attack.
270,27/6/2002,India,Lal Chowk,1,37,38,"A woman is killed, and thirty-seven others injured when a militant Muslim hurls a grenade into the street."
271,27/6/2002,India,Gurwatan Bahak,5,0,5,Five members of a family of shepherds are massacred by the Mujahideen.
272,27/6/2002,Pakistan,Kachi Abadi,1,2,3,15-year old Christian tortured to death by police for blasphemy. In the same country a 17-year old Christian girl was blinded from having acid thrown in her face and another girl was raped (occurring on different days).
