Country,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei Darussalam,Female,13.12500954,13.22422028,13.59617043,13.95283031,14.15997028,14.23097992,14.14700031,14.1563797,14.32802963,14.34762001,14.60280037,15.31474972,15.44804955,15.3859396,15.10628033,15.08296013,14.9711504,14.76745033
Bulgaria,Female,13.10083961,12.93327045,13.28022003,13.41217041,13.50615025,13.70967007,14.10727978,14.32989979,14.46627998,14.7109499,14.73985004,14.77035046,15.12376022,15.32503033,15.21026993,14.87127018,14.64192963,14.39992046
Burkina Faso,Female,6.335726,6.746629,3.272550106,7.001296,4.012290001,4.294690132,4.752170086,5.277910233,5.708119869,6.169169903,6.628230095,7.010739803,7.342030048,7.549330235,7.97947979,8.276630402,8.695150375,9.104089737
Burundi,Female,6.335726,6.746629,6.808572,5.076479912,5.439370155,6.900599957,6.915052,7.1397,7.40053,9.83409977,7.6110217,10.52995968,10.81336975,11.20522976,11.38064957,11.45932007,10.9571104,10.89515018
Cabo Verde,Female,11.32999992,11.61557007,11.62817001,11.54267025,11.72418976,12.66339016,12.70695972,12.76486969,12.95575047,13.16201019,13.38411999,13.4091301,13.90139961,13.81204033,13.45820045,13.36594009,13.27068043,13.00302029
Cambodia,Female,7.458630085,8.495400429,6.808572,9.24849987,7.073396,9.687509537,9.862799644,9.913000107,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Cameroon,Female,7.827459812,7.301199913,7.695980072,7.667429924,7.582570076,7.392829895,8.147689819,8.51679039,9.050009727,7.451479,9.73993969,10.36868,7.347691,10.99440956,11.33327007,11.33539009,7.708672,7.138186
Canada,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,15.59181976,15.59961987,15.67339993,15.54195023,15.67426014,16.13960075,16.23354912,16.31386948,16.42598915,16.52371025,16.66986084,16.72260094
Caribbean small states,Female,11.97269,12.40638,12.47897,12.70411,12.99313,13.14144,13.32254,13.75531,13.5431,13.52492,13.55386,13.40468,13.32647,13.20616,13.24984,13.31075,7.708672,7.138186
Cayman Islands,Female,6.335726,6.746629,6.808572,7.001296,7.073396,11.3093996,11.80698013,12.57658958,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Central African Republic,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,5.197299957,7.451479,7.6110217,5.600850105,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
