Location,Fatalities,Injured,Total victims
"Newtown, Connecticut",28,2,29
"Happy Valley, Oregon",3,1,3
"Brookfield, Wisconsin",4,4,7
"Miami, Florida",0,15,15
"Minneapolis, Minnesota",7,1,8
"Minneapolis, Minnesota",7,2,8
"Oak Creek, Wisconsin",7,3,10
"Oak Creek, Wisconsin",7,4,10
"Aurora, Colorado",12,70,82
"Denver, Colorado",12,58,70
"Auburn, Alabama",3,3,6
"Seattle, Washington",6,1,6
"Seattle, Washington",6,1,7
"Tulsa, Oklahoma",3,2,5
"Oakland, California",7,3,10
"Oakland, California",7,3,10
"Chardon, Ohio",3,3,6
"Norcross, Georgia",5,0,5
"Norcross, Georgia",5,0,4
"Birmingham, Alabama",5,0,5
"Seal Beach, California",8,1,9
"Seal Beach, California",8,1,9
"Carson City, Nevada",5,7,12
"Carson City, Nevada",5,7,11
"Grand Rapids, Michigan",8,2,9
"Opelika, Alabama",1,3,4
"Youngstown, Ohio",1,11,12
"Tucson, Arizona",6,13,19
"Tucson, Arizona",6,13,19
"Manchester, Connecticut",9,2,11
"Manchester, Connecticut",9,2,10
"Huntsville, Alabama",0,3,6
"Parkland, Washington",4,1,5
"Lakewood, Washington",5,0,4
"Fort Hood, Texas",13,30,43
"Fort Hood, Texas",13,32,45
"Binghamton, New York",14,4,18
"Binghamton, New York",14,4,17
"Carthage, North Carolina",8,3,11
"Santa Clara, California",6,1,6
"Carthage, North Carolina",8,2,10
"Geneva, Alabama",11,6,16
"Covina, California",10,2,11
"Conway, Arkansas",0,1,3
"Phoenix, Arizona",0,3,3
"Henderson, Kentucky",6,1,7
"Henderson, Kentucky",7,1,7
"DeKalb, Illinois",5,21,26
"DeKalb, Illinois",6,17,22
"Kirkwood, Missouri",6,2,8
"Kirkwood, Missouri",6,2,7
"Carnation, Washington",6,0,6
"Las Vegas, Nevada",0,6,6
"Arvada, Colorado",5,5,9
"Omaha, Nebraska",9,4,13
"Omaha, Nebraska",9,4,12
"Saginaw, Michigan",0,4,4
"Cleveland, Ohio",1,4,4
"Crandon, Wisconsin",6,1,7
"Crandon, Wisconsin",7,1,7
"Blacksburg, Virginia",32,23,55
"Blacksburg, Virginia",33,17,49
"Gresham, Oregon",0,10,10
"Salt Lake City, Utah",6,4,10
"Salt Lake City, Utah",6,4,9
"Lancaster County, Pennsylvania",6,5,11
"Nickel Mines, Lancaster, Pennsylvania",6,5,10
"Pittsburgh, Pennsylvania",0,5,5
"Hillsborough, North Carolina",1,2,3
"Essex Junction, Vermont",2,2,4
"Seattle, Washington",7,2,9
"Seattle, Washington",7,2,8
"Goleta, California",8,0,8
"Goleta, California",8,0,7
"Red Lake, Minnesota",10,5,15
"Red Lake, Minnesota",10,5,14
"Brookfield, Wisconsin",7,4,11
"Brookfield, Wisconsin",8,4,11
"Tyler, Texas",3,4,6
"Columbus, Ohio",5,7,12
"Columbus, Ohio",5,7,11
"Birchwood, Wisconsin",6,2,8
"Chicago, Illinois",7,0,6
"Meridian, Mississippi",7,8,15
"Meridian, Mississippi",7,8,14
"Cleveland, Ohio",1,2,3
"Tucson, Arizona",4,0,3
"Grundy, Virginia",3,3,6
"Santee, San Diego, California",2,13,15
"Melrose Park, Illinois",5,4,9
"Melrose Park, Illinois",6,4,9
"Wakefield, Massachusetts",7,0,7
"Wakefield, Boston, Massachusetts",7,0,7
"Tampa, Florida",5,3,8
"Tampa, Florida",5,3,8
"Fort Gibson, Oklahoma",0,4,4
"Honolulu, Hawaii",7,0,7
"Honolulu, Hawaii",7,0,7
"Fort Worth, Texas",8,7,15
"Fort Worth, Texas",8,7,14
"Atlanta, Georgia",9,13,22
"Atlanta, Georgia",10,12,21
"Conyers, Georgia",0,6,6
"Littleton, Colorado",13,24,37
"Littleton, Colorado",15,24,37
"Riverside, California",0,6,6
"Springfield, Oregon",4,25,29
"Springfield, Oregon",4,25,29
